

Abhyanga





   
   Abhyanga 



Chikitsaa Karma,Abhyanga
Arha Vyaadhi,Vaatavyaadhi --) Kampa --) Greevaa Kampa
Arha Vyaadhi,Vaatavyaadhi --) Kampa --) Paada Kampa
Arha Vyaadhi,Vaatavyaadhi --) Kampa --) S`hira Kampa
Arha Vyaadhi,Vaatavyaadhi --) Karn`as`hoola
Arha Vyaadhi,Vaatavyaadhi --) Kat`eegata Vaata
Arha Vyaadhi,Vaatavyaadhi --) Khallee
Arha Vyaadhi,Vaatavyaadhi --) Khanja
Arha Vyaadhi,Vaatavyaadhi --) Maamsagata Vaata
Arha Vyaadhi,Vaatavyaadhi --) Majjaagata Vaata
Arha Vyaadhi,Vaatavyaadhi --) Majjaasthigata Vaata
Arha Vyaadhi,Vaatavyaadhi --) Manyaastambha
Arha Vyaadhi,Vaatavyaadhi --) Medogata Vaata
Arha Vyaadhi,Vaatavyaadhi --) Pakshavadha
Arha Vyaadhi,Vaatavyaadhi --) Raktagata Vaata
Arha Vyaadhi,Vaatavyaadhi --) Sandhigata Vaata
Arha Vyaadhi,Vaatavyaadhi --) Sarvaangagata Vaata
Arha Vyaadhi,Vaatavyaadhi --) Siraagata Vaata
Arha Vyaadhi,Vaatavyaadhi --) Snaayugata Vaata
Arha Vyaadhi,Vaatavyaadhi --) Tvaggata Vaata
Arha Vyaadhi,Vaatavyaadhi --) Vrishan`agata Vaata
Arha Vyaadhi,Valee
Arha Vyaadhi,Vandhyatva
Arha Vyaadhi,Vegaavarodhajanya Vyaadhi --) Chhardivegaavarodhajanya Vyaadhi
Arha Vyaadhi,Vegaavarodhajanya Vyaadhi --) S`hukravegaavarodhajanya Vyaadhi
Arha Vyaadhi,Vidradhi --) Pittaja Vidradhi
Arha Vyaadhi,Vidradhi --) Raktaja Vidradhi
Arha Vyaadhi,Vidradhi --) Vaataja
Arha Vyaadhi,Visarpa --) Avasthaa --) Niraama Ksheen`a Kapha + Vaata Pitta Adhika
Arha Vyaadhi,Visarpa --) Pittaja Visarpa
Arha Vyaadhi,Visarpa --) Vaataja
Arha Vyaadhi,Visha Roga --) Jangama Visha --) Keet`a Visha --) Vaataja
Arha Vyaadhi,Visha Roga --) Jangama Visha --) Lootaa Visha
Arha Vyaadhi,Visha Roga --) Jangama Visha --) Sarpa Visha --) Man`d`alina Sarpa Visha (Shasht`ha Vega)
Arha Vyaadhi,Visha Roga --) Jangama Visha --) Vris`hchika Visha
Arha Vyaadhi,Visha Roga --) Vaataja Visha Roga
Arha Vyaadhi,Visha Roga --) Visha Prayoga --) Vishadooshita Spars`ha
Arha Vyaadhi,Vishamaagni
Arha Vyaadhi,Vran`a
Arha Vyaadhi,Vran`a --) Aagantuja (Sadyo) Vran`a
Arha Vyaadhi,Vran`a --) Aagantuja (Sadyo) Vran`a --) Dagdha Vran`a --) Samyak Dagdha Vran`a
Arha Vyaadhi,Vran`a --) Aagantuja (Sadyo) Vran`a --) Kshata Aagantuja Vran`a
Arha Vyaadhi,Vran`a --) Avasthaa --) Kat`hina Vran`a
Arha Vyaadhi,Vran`a --) Avasthaa --) Naad`ee Vran`a
Arha Vyaadhi,Vran`a --) Avasthaa --) S`hoola
Arha Vyaadhi,Vran`a --) Avasthaa --) Vishaja Vran`a
Arha Vyaadhi,Vran`a --) Dusht`a Vran`a
Arha Vyaadhi,Vran`a --) Dusht`a Vran`a --) Kusht`ha Vran`a
Arha Vyaadhi,Vran`a --) Dusht`a Vran`a --) Pittaja Dusht`a Vran`a
Arha Vyaadhi,Vran`a --) Dusht`a Vran`a --) Pittaraktaja Dusht`a Vran`a
Arha Vyaadhi,Vran`a --) Dusht`a Vran`a --) Pramehaja Vran`a
Arha Vyaadhi,Vran`a --) Dusht`a Vran`a --) Raktaja Dusht`a Vran`a
Arha Vyaadhi,Vran`a --) Kaphaja Vran`a
Arha Vyaadhi,Vran`a --) Pitta Raktaja Vran`a
Arha Vyaadhi,Vran`a --) Pittaja Vran`a
Arha Vyaadhi,Vran`a --) Raktaja Vran`a
Arha Vyaadhi,Vran`as`hotha --) Avasthaa --) Kat`hina
Arha Vyaadhi,Vran`as`hotha --) Avasthaa --) Mandarujaa
Arha Vyaadhi,Vran`as`hotha --) Avasthaa --) Rujaa
Arha Vyaadhi,Vran`as`hotha --) Avasthaa --) Sthira
Arha Vyaadhi,Vran`as`hotha --) Avasthaa --) Vivarn`a
Arha Vyaadhi,Vran`as`hotha --) Vishaja
Arha Vyaadhi,Vriddhi
Arha Vyaadhi,Vriddhi --) Aantraja
Arha Vyaadhi,Vriddhi --) Aantraja --) Chirakaaree Aantra Vriddhi
Arha Vyaadhi,Vriddhi --) Kaphaja
Arha Vyaadhi,Vriddhi --) Medaja
Arha Vyaadhi,Vriddhi --) Mootraja
Arha Vyaadhi,Vriddhi --) Pittaja
Arha Vyaadhi,Vriddhi --) Vaataja Vriddhi
Arha Vyaadhi,Vyaapad --) Basti Vyaapad --) Basti Netra Vyaapad --) Vaatayuta Basti
Arha Vyaadhi,Vyaapad --) Basti Vyaapad --) Nirooha Vyaapad:- Aadhmaana
Arha Vyaadhi,Vyaapad --) Basti Vyaapad --) Nirooha Vyaapad:- Angaarti
